"Tm","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","TeamOffense","TeamDefense","wins"
"ATL","2017-2018",14,24,29,19,22,10,28,26,15,19,27,27,23,26,18,26,25,27,27,18,10,5,28,28,24,24
"BOS","2017-2018",26,18,2,13,15,1,8,7,3,3,19,19,7,10,27,24,27,16,21,24,17,28,5,7,3,19
"BRK","2017-2018",24,19,11,18,16,9,19,14,10,8,22,22,11,11,30,19,23,14,6,19,3,14,14,17,2,30
"CHI","2017-2018",30,30,23,29,27,14,29,29,7,6,30,28,29,30,23,30,29,29,30,23,30,24,29,30,28,23
"CHO","2017-2018",19,15,30,16,19,5,9,3,17,16,6,7,8,5,9,4,3,15,17,9,21,27,6,10,7,11
"CLE","2017-2018",1,16,13,14,4,3,5,5,1,1,17,23,6,9,25,25,22,12,28,29,15,30,3,4,15,3
"DAL","2017-2018",7,25,15,25,26,4,25,21,6,10,26,25,21,22,29,29,30,19,5,28,28,23,25,18,25,14
"DEN","2017-2018",22,10,18,10,7,7,11,16,16,18,9,14,16,15,3,7,4,4,23,13,13,26,11,9,12,10
"DET","2017-2018",17,26,9,21,23,25,4,4,19,14,5,6,30,29,16,2,6,26,24,30,29,20,15,21,19,20
"GSW","2017-2018",4,1,7,1,1,22,6,12,4,4,18,26,25,28,20,10,15,1,3,1,14,9,7,6,22,2
"HOU","2017-2018",3,4,4,3,2,19,16,23,2,2,28,29,14,12,5,16,16,3,2,25,20,10,9,1,16,1
"IND","2017-2018",23,8,10,9,14,20,10,17,30,29,4,5,24,27,28,21,24,25,26,10,27,17,20,27,20,27
"LAC","2017-2018",9,3,19,4,6,28,15,22,22,21,11,20,2,2,6,5,2,8,15,22,12,18,10,2,8,6
"LAL","2017-2018",28,7,25,2,10,29,17,24,28,25,7,12,27,21,11,11,9,20,13,8,6,19,24,26,13,28
"MEM","2017-2018",15,20,3,28,21,13,27,25,23,26,20,16,3,3,14,12,14,21,20,11,8,1,19,14,11,16
"MIA","2017-2018",16,29,27,30,28,26,26,11,8,5,25,21,19,17,22,28,26,11,9,17,16,25,22,24,10,26
"MIL","2017-2018",20,12,6,15,5,6,24,28,14,13,24,24,22,23,26,27,28,7,12,6,23,15,26,19,21,18
"MIN","2017-2018",11,5,5,11,9,18,3,8,29,30,1,2,5,8,7,23,19,10,16,15,11,22,4,8,5,17
"NOP","2017-2018",5,27,14,27,30,30,12,6,24,22,10,4,17,18,21,6,12,6,8,16,7,21,16,22,17,21
"NYK","2017-2018",12,9,21,7,11,12,23,27,26,24,14,15,26,24,2,18,8,28,29,7,18,8,27,25,29,13
"OKC","2017-2018",10,28,22,23,29,27,20,10,9,7,23,17,10,7,15,3,5,18,10,14,5,12,12,13,4,25
"ORL","2017-2018",21,21,16,17,20,21,21,18,18,15,21,18,20,20,24,13,17,22,22,12,22,13,23,23,14,22
"PHI","2017-2018",27,14,20,20,18,11,2,1,11,12,3,1,1,1,8,9,7,2,1,3,1,11,1,3,9,4
"PHO","2017-2018",29,6,17,6,8,15,1,2,12,11,2,3,4,4,10,17,18,17,18,20,4,4,2,5,1,29
"POR","2017-2018",25,13,12,12,17,17,18,15,20,23,16,10,9,6,1,1,1,23,25,4,2,3,13,12,18,9
"SAC","2017-2018",6,17,28,22,24,24,22,20,25,28,13,8,18,16,13,14,13,24,19,27,25,6,21,20,26,12
"SAS","2017-2018",2,23,1,26,12,2,7,9,5,9,15,9,13,19,19,20,21,5,14,5,9,29,8,15,23,8
"TOR","2017-2018",18,2,8,5,3,16,14,19,21,20,12,11,12,13,4,15,11,30,11,2,24,2,18,16,27,5
"UTA","2017-2018",13,22,26,24,25,23,30,30,27,27,29,30,28,25,12,8,10,9,7,21,26,16,30,29,30,7
"WAS","2017-2018",8,11,24,8,13,8,13,13,13,17,8,13,15,14,17,22,20,13,4,26,19,7,17,11,6,15
